video_id,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
2kyS6SvSYSE,57527,2966,15954,https://i.ytimg.com/vi/2kyS6SvSYSE/default.jpg,FALSE,FALSE,FALSE
1ZAPwfrtAFY,97185,6146,12703,https://i.ytimg.com/vi/1ZAPwfrtAFY/default.jpg,FALSE,FALSE,FALSE
5qpjK5DgCt4,146033,5339,8181,https://i.ytimg.com/vi/5qpjK5DgCt4/default.jpg,FALSE,FALSE,FALSE
puqaWrEC7tY,10172,666,2146,https://i.ytimg.com/vi/puqaWrEC7tY/default.jpg,FALSE,FALSE,FALSE
d380meD0W0M,132235,1989,17518,https://i.ytimg.com/vi/d380meD0W0M/default.jpg,FALSE,FALSE,FALSE
gHZ1Qz0KiKM,9763,511,1434,https://i.ytimg.com/vi/gHZ1Qz0KiKM/default.jpg,FALSE,FALSE,FALSE
39idVpFF7NQ,15993,2445,1970,https://i.ytimg.com/vi/39idVpFF7NQ/default.jpg,FALSE,FALSE,FALSE
nc99ccSXST0,23663,778,3432,https://i.ytimg.com/vi/nc99ccSXST0/default.jpg,FALSE,FALSE,FALSE
jr9QtXwC9vc,3543,119,340,https://i.ytimg.com/vi/jr9QtXwC9vc/default.jpg,FALSE,FALSE,FALSE
TUmyygCMMGA,12654,1363,2368,https://i.ytimg.com/vi/TUmyygCMMGA/default.jpg,FALSE,FALSE,FALSE
9wRQljFNDW8,655,25,177,https://i.ytimg.com/vi/9wRQljFNDW8/default.jpg,FALSE,FALSE,FALSE
VifQlJit6A0,1576,303,1279,https://i.ytimg.com/vi/VifQlJit6A0/default.jpg,FALSE,FALSE,FALSE
5E4ZBSInqUU,114188,1333,8371,https://i.ytimg.com/vi/5E4ZBSInqUU/default.jpg,FALSE,FALSE,FALSE
GgVmn66oK_A,7848,1171,3981,https://i.ytimg.com/vi/GgVmn66oK_A/default.jpg,FALSE,FALSE,FALSE
TaTleo4cOs8,7473,246,2120,https://i.ytimg.com/vi/TaTleo4cOs8/default.jpg,FALSE,FALSE,FALSE
kgaO45SyaO4,9419,52,1230,https://i.ytimg.com/vi/kgaO45SyaO4/default.jpg,FALSE,FALSE,FALSE
ZAQs-ctOqXQ,8011,638,1256,https://i.ytimg.com/vi/ZAQs-ctOqXQ/default.jpg,FALSE,FALSE,FALSE
YVfyYrEmzgM,5398,53,385,https://i.ytimg.com/vi/YVfyYrEmzgM/default.jpg,FALSE,FALSE,FALSE
eNSN6qet1kE,11963,36,2211,https://i.ytimg.com/vi/eNSN6qet1kE/default.jpg,FALSE,FALSE,FALSE
B5HORANmzHw,8421,191,1214,https://i.ytimg.com/vi/B5HORANmzHw/default.jpg,FALSE,FALSE,FALSE
vU14JY3x81A,9586,75,2800,https://i.ytimg.com/vi/vU14JY3x81A/default.jpg,FALSE,FALSE,FALSE
6VhU_T463sU,3585,138,208,https://i.ytimg.com/vi/6VhU_T463sU/default.jpg,FALSE,FALSE,FALSE
_-aDHxoblr4,11758,89,1014,https://i.ytimg.com/vi/_-aDHxoblr4/default.jpg,FALSE,FALSE,FALSE
JBZTZZAcFTw,1707,578,673,https://i.ytimg.com/vi/JBZTZZAcFTw/default.jpg,FALSE,FALSE,FALSE
lZ68j2J_GOM,4884,52,234,https://i.ytimg.com/vi/lZ68j2J_GOM/default.jpg,FALSE,FALSE,FALSE
dRpNZV18N_g,8676,193,1392,https://i.ytimg.com/vi/dRpNZV18N_g/default.jpg,FALSE,FALSE,FALSE
fcVjitaM3LY,4687,41,437,https://i.ytimg.com/vi/fcVjitaM3LY/default.jpg,FALSE,FALSE,FALSE
qeWvgZLz9yU,9033,224,1346,https://i.ytimg.com/vi/qeWvgZLz9yU/default.jpg,FALSE,FALSE,FALSE
iIxy3JN3-jc,156,36,83,https://i.ytimg.com/vi/iIxy3JN3-jc/default.jpg,FALSE,FALSE,FALSE
n30k5CwLhS4,715,238,246,https://i.ytimg.com/vi/n30k5CwLhS4/default.jpg,FALSE,FALSE,FALSE
U0hAC8O7RoI,4035,495,486,https://i.ytimg.com/vi/U0hAC8O7RoI/default.jpg,FALSE,FALSE,FALSE
CBVGjS_EJok,119,69,0,https://i.ytimg.com/vi/CBVGjS_EJok/default.jpg,TRUE,FALSE,FALSE
n1WpP7iowLc,787419,43420,125882,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,FALSE,FALSE,FALSE
hz7ukDjuq4w,3781,84,626,https://i.ytimg.com/vi/hz7ukDjuq4w/default.jpg,FALSE,FALSE,FALSE
p2hJxyF7mok,1661,70,236,https://i.ytimg.com/vi/p2hJxyF7mok/default.jpg,FALSE,FALSE,FALSE
0mlNzVSJrT0,2486,184,532,https://i.ytimg.com/vi/0mlNzVSJrT0/default.jpg,FALSE,FALSE,FALSE
Om_zGhJLZ5U,7515,792,2111,https://i.ytimg.com/vi/Om_zGhJLZ5U/default.jpg,FALSE,FALSE,FALSE
e_7zHm7GsYc,1318,24,76,https://i.ytimg.com/vi/e_7zHm7GsYc/default.jpg,FALSE,FALSE,FALSE
dQvIbulWCM4,38397,1387,3412,https://i.ytimg.com/vi/dQvIbulWCM4/default.jpg,FALSE,FALSE,FALSE
zZ9FciUx6gs,6927,161,565,https://i.ytimg.com/vi/zZ9FciUx6gs/default.jpg,FALSE,FALSE,FALSE
PaJCFHXcWmM,5389,106,455,https://i.ytimg.com/vi/PaJCFHXcWmM/default.jpg,FALSE,FALSE,FALSE
goP4Z5wyOlM,308,26,413,https://i.ytimg.com/vi/goP4Z5wyOlM/default.jpg,FALSE,FALSE,FALSE
NZFhMSgbKKM,7,5,8,https://i.ytimg.com/vi/NZFhMSgbKKM/default.jpg,FALSE,FALSE,FALSE
0tO_l_Ed5Rs,15186,15448,7484,https://i.ytimg.com/vi/0tO_l_Ed5Rs/default.jpg,FALSE,FALSE,FALSE
STI2fI7sKMo,4451,1772,895,https://i.ytimg.com/vi/STI2fI7sKMo/default.jpg,FALSE,FALSE,FALSE
BWPrk9PUwQE,33505,1660,2160,https://i.ytimg.com/vi/BWPrk9PUwQE/default.jpg,FALSE,FALSE,FALSE
ogYum4kWXgk,3417,33,160,https://i.ytimg.com/vi/ogYum4kWXgk/default.jpg,FALSE,FALSE,FALSE
sbcbvuitiTc,2017,2425,1447,https://i.ytimg.com/vi/sbcbvuitiTc/default.jpg,FALSE,FALSE,FALSE
zNqCVTs38nU,35,18,19,https://i.ytimg.com/vi/zNqCVTs38nU/default.jpg,FALSE,FALSE,FALSE
