video_id,publish_time,views
2kyS6SvSYSE,2017-11-13T17:13:01.000Z,748374
1ZAPwfrtAFY,2017-11-13T07:30:00.000Z,2418783
5qpjK5DgCt4,2017-11-12T19:05:24.000Z,3191434
puqaWrEC7tY,2017-11-13T11:00:04.000Z,343168
d380meD0W0M,2017-11-12T18:01:41.000Z,2095731
gHZ1Qz0KiKM,2017-11-13T19:07:23.000Z,119180
39idVpFF7NQ,2017-11-12T05:37:17.000Z,2103417
nc99ccSXST0,2017-11-12T21:50:37.000Z,817732
jr9QtXwC9vc,2017-11-13T14:00:23.000Z,826059
TUmyygCMMGA,2017-11-13T13:45:16.000Z,256426
9wRQljFNDW8,2017-11-13T02:05:26.000Z,81377
VifQlJit6A0,2017-11-13T03:00:00.000Z,104578
5E4ZBSInqUU,2017-11-13T17:00:00.000Z,687582
GgVmn66oK_A,2017-11-12T14:00:00.000Z,544770
TaTleo4cOs8,2017-11-12T18:30:01.000Z,207532
kgaO45SyaO4,2017-11-13T20:09:58.000Z,75752
ZAQs-ctOqXQ,2017-11-12T17:00:05.000Z,295639
YVfyYrEmzgM,2017-11-13T16:00:07.000Z,78044
eNSN6qet1kE,2017-11-13T15:30:17.000Z,97007
B5HORANmzHw,2017-11-12T22:00:01.000Z,223871
vU14JY3x81A,2017-11-13T14:00:03.000Z,115791
6VhU_T463sU,2017-11-12T15:00:01.000Z,224019
_-aDHxoblr4,2017-11-13T16:00:03.000Z,144418
JBZTZZAcFTw,2017-11-12T16:00:01.000Z,145921
lZ68j2J_GOM,2017-11-13T14:44:24.000Z,33980
dRpNZV18N_g,2017-11-12T14:00:04.000Z,223077
fcVjitaM3LY,2017-11-13T12:13:36.000Z,80705
qeWvgZLz9yU,2017-11-13T16:00:03.000Z,120727
iIxy3JN3-jc,2017-11-13T15:42:28.000Z,27943
n30k5CwLhS4,2011-05-29T17:03:12.000Z,50867
U0hAC8O7RoI,2017-11-13T01:43:12.000Z,98378
CBVGjS_EJok,2017-11-06T17:52:50.000Z,26000
n1WpP7iowLc,2017-11-10T17:00:03.000Z,17158531
hz7ukDjuq4w,2017-11-12T23:41:37.000Z,67661
p2hJxyF7mok,2017-11-12T05:55:42.000Z,141148
0mlNzVSJrT0,2017-04-21T06:47:32.000Z,98966
Om_zGhJLZ5U,2017-11-12T18:00:03.000Z,288922
e_7zHm7GsYc,2017-11-13T15:01:18.000Z,13917
dQvIbulWCM4,2017-11-12T23:41:48.000Z,605932
zZ9FciUx6gs,2017-11-13T15:31:44.000Z,57169
PaJCFHXcWmM,2017-11-13T17:00:04.000Z,60506
goP4Z5wyOlM,2017-11-12T21:16:40.000Z,34785
NZFhMSgbKKM,2017-11-13T15:11:00.000Z,945
0tO_l_Ed5Rs,2017-11-11T16:00:01.000Z,328330
STI2fI7sKMo,2017-11-11T15:00:03.000Z,321053
BWPrk9PUwQE,2017-11-12T00:45:54.000Z,1456472
ogYum4kWXgk,2017-11-13T13:00:06.000Z,69844
sbcbvuitiTc,2017-11-10T18:23:05.000Z,956169
zNqCVTs38nU,2017-11-13T02:15:30.000Z,4569
DM-ni_LSOFE,2017-11-10T23:05:25.000Z,2045386
0PpNlNJ6Nng,2017-11-11T19:03:43.000Z,1842393
c-3JxzN2u34,2017-11-12T15:05:55.000Z,6473
069D0NmW39o,2017-11-11T15:00:00.000Z,1044813
9t9u_yPEidY,2017-11-10T15:00:00.000Z,9548677
KODzih-pYlU,2017-11-11T18:08:04.000Z,197062
8NHA23f7LvU,2017-11-10T19:06:23.000Z,1496225
w0XYVssCKjw,2017-11-11T20:00:02.000Z,162597
9XSULcLI6Hg,2017-11-12T15:24:29.000Z,9132
pjuPpVLXDQg,2017-11-13T00:46:11.000Z,7265
9xSx-5tmq44,2017-11-11T06:34:48.000Z,291597
4v0nOAzcG2A,2017-11-11T15:38:32.000Z,290801
oTObwUiXdYY,2017-11-13T15:44:35.000Z,5304
1cgK-BIrXes,2017-11-10T15:07:13.000Z,812516
ujyTQNNjjDU,2017-11-10T05:00:01.000Z,2642930
PABlVzeldaM,2017-11-12T13:13:33.000Z,105058
6340tX9M_eM,2017-11-10T19:00:00.000Z,537715
8mhTWqWlQzU,2017-11-11T01:19:33.000Z,2744430
t4YAyT4ihIQ,2017-11-10T18:30:01.000Z,3358068
MNiweoKXwfg,2017-11-13T17:00:26.000Z,4732
Jw1Y-zhQURU,2017-11-10T07:38:29.000Z,7224515
2Vv-BfVoq4g,2017-11-09T11:04:14.000Z,33523622
UFYCTJlayS4,2017-11-11T03:56:10.000Z,52591
cccyOn99s4Y,2017-11-10T23:00:01.000Z,75822
abGCYPCk294,2017-11-11T17:55:27.000Z,43715
lY_0mkYDZDU,2017-11-10T17:00:05.000Z,303956
k8NxqyGcZA4,2017-11-10T12:59:55.000Z,238643
IE-xepGLVt8,2017-11-10T12:04:17.000Z,237307
ObIQ0s02UHg,2017-11-10T14:40:48.000Z,1282413
cOc3tsFWoRs,2017-11-10T09:35:00.000Z,1497519
AJYb0Yom5UQ,2017-10-17T20:01:44.000Z,148226
gLswXiRLdkA,2017-11-11T02:42:23.000Z,484185
MyEqfBkzESU,2017-11-10T20:40:44.000Z,300617
wJYE0sFOteE,2017-11-10T16:01:04.000Z,92523
L_5_slz4ke4,2017-11-12T20:26:46.000Z,7524
OKoL852K9uA,2017-11-11T05:23:36.000Z,103927
pa_oUisZZy0,2017-11-11T00:30:16.000Z,177707
fNtLIcyjsnI,2017-11-09T17:11:32.000Z,1751064
_Iz83-Cmt6A,2017-11-09T22:23:51.000Z,46746
YlvCVbfS9M0,2017-11-11T15:11:18.000Z,746092
arJ5h2TY3I4,2017-11-10T17:00:51.000Z,836830
-2RVw2_QyxQ,2017-11-12T02:39:01.000Z,67429
gEHCXl4J9Qo,2017-11-10T02:32:15.000Z,2237404
#NAME?,2017-11-12T00:18:43.000Z,45455
b4vTZx_AtHk,2017-11-09T18:36:48.000Z,2063667
kOnQocd799Y,2017-11-09T17:14:11.000Z,2736733
e4FApt6z55c,2017-11-10T15:43:00.000Z,165698
2XK4omx9uMU,2017-11-10T14:40:32.000Z,836544
